long_name,age,nationality,club,overall
Ashley Williams,34,Wales,Wales,70
Adam Le Fondre,32,England,Sydney FC,70
Chinedum Onuoha,32,England,Real Salt Lake,70
Carlos Pita González,34,Spain,CD Lugo,70
Johan Dahlin,32,Sweden,Malmö FF,70
Tim Hoogland,34,Germany,Melbourne Victory,70
Steven Fletcher,32,Scotland,Sheffield Wednesday,70
Michael Parkhurst,35,United States,Atlanta United,70
Cameron Jerome,32,England,Göztepe SK,70
Mariano Julio Izco,36,Argentina,Castellammare di Stabia,70
Francisco José Molinero Calderón,33,Spain,Real Sporting de Gijón,70
Marc Pugh,32,England,Queens Park Rangers,70
Kyle Lafferty,31,Northern Ireland,Northern Ireland,70
Kári Árnason,36,Iceland,Iceland,70
Danilo Aparecido da Silva,32,Brazil,Los Angeles FC,70
Adrián Alexei Aldrete Rodríguez,31,Mexico,Cruz Azul,70
Rob Elliot,33,Republic of Ireland,Newcastle United,70
Adriano Sartorio Mezavilla,36,Brazil,Castellammare di Stabia,70
Aldo Leao Ramírez Sierra,38,Colombia,Rionegro Águilas,70
Zdravko Kuzmanović,31,Serbia,FC Basel 1893,70
Sami Allagui,33,Tunisia,Royal Excel Mouscron,70
Rémy Riou,31,France,Stade Malherbe Caen,70
Miguel Ángel Fraga Licona,31,Mexico,U.N.A.M.,70
Fraizer Campbell,31,England,Huddersfield Town,70
Jacques Maghoma,31,DR Congo,Birmingham City,70
Sam  Hutchinson,29,England,Sheffield Wednesday,70
Hugo Filipe da Costa Oliveira,30,Portugal,Sivasspor,70
André Filipe Alves Monteiro,31,Portugal,Santa Clara,70
Antonio Balzano,33,Italy,Pescara,70
Javier Moyano Lujano,33,Spain,Real Valladolid CF,70
Raïs M'Bolhi Ouhab,33,Algeria,Ettifaq FC,70
Graham Dorrans,32,Scotland,Rangers FC,70
Gabriel Martín Peñalba,34,Argentina,Tiburones Rojos de Veracruz,70
Pierre Kanstrup,30,Denmark,Vålerenga Fotball,70
Brian Tømming Hamalainen,30,Denmark,SG Dynamo Dresden,70
Ramon Leeuwin,31,Netherlands,Odense Boldklub,70
Alexandre Bonnet,32,France,Le Havre AC,70
Stergos Marinos,31,Greece,Sporting de Charleroi,70
Benito Nicolas Viola,29,Italy,Benevento,70
Manuel Reina Rodríguez,34,Spain,RCD Mallorca,70
Ramón Ignacio Fernández,34,Argentina,CD O'Higgins,70
Pablo Edson Barrera Acosta,32,Mexico,U.N.A.M.,70
Tom Clarke,31,England,Preston North End,70
Jason Pearce,31,England,Charlton Athletic,70
Neil Taylor,30,Wales,Aston Villa,70
Hervé Kage,29,DR Congo,KV Kortrijk,70
염기훈 廉基勋,36,Korea Republic,Suwon Samsung Bluewings,70
이근호 李根镐,34,Korea Republic,Ulsan Hyundai FC,70
Miguel Ángel Torrén,30,Argentina,Argentinos Juniors,70
Mikael Lustig,32,Sweden,KAA Gent,70
Patrick Ebert,32,Germany,SG Dynamo Dresden,70
Adam Bodzek,33,Poland,Fortuna Düsseldorf,70
Ismaïl Aissati,30,Morocco,Denizlispor,70
Ruben Yttergård Jenssen,31,Norway,SK Brann,70
Mathieu Coutadeur,33,France,AC Ajaccio,70
José Manuel Flores Moreno,32,Spain,CF Fuenlabrada,70
Aleandro Rosi,32,Italy,Perugia,70
Mirko Bruccini,33,Italy,Cosenza,70
Ânderson Miguel da Silva,35,Brazil,Moreirense FC,70
Simone Iacoponi,32,Italy,Parma,70
Wout Brama,32,Netherlands,FC Twente,70
Andrea Luci,34,Italy,Livorno,70
Luigi Vitale,31,Italy,Hellas Verona,70
Bruno Saúl Urribarri,32,Argentina,Patronato,70
Stefano Napoleoni,33,Italy,Medipol Başakşehir FK,70
Søren  Krukow Rieks,32,Denmark,Malmö FF,70
Nuno Miguel Sousa Pinto,32,Portugal,Vitória de Setúbal,70
Ceyhun Gülselam,31,Turkey,Alanyaspor,70
川島 永嗣,36,Japan,RC Strasbourg Alsace,70
Aly Cissokho,31,France,Antalyaspor,70
Andrés Ríos,29,Argentina,San Jose Earthquakes,70
Krisztián Németh,30,Hungary,Sporting Kansas City,70
Mirko Drudi,32,Italy,Cittadella,70
王大雷,30,China PR,Shandong Luneng TaiShan FC,70
李学鹏,30,China PR,Guangzhou Evergrande Taobao FC,70
Martin Männel,31,Germany,FC Erzgebirge Aue,70
Alan Power,31,Republic of Ireland,Kilmarnock,70
Raúl Bobadilla,32,Paraguay,Argentinos Juniors,70
Pål André Helland,29,Norway,Rosenborg BK,70
Adlène Guédioura,33,Algeria,Nottingham Forest,70
Davide Di Gennaro,31,Italy,Castellammare di Stabia,70
Norman Theuerkauf,32,Germany,1. FC Heidenheim 1846,70
Robert Tesche,32,Germany,VfL Bochum 1848,70
Yohan Mollo,29,France,Panathinaikos FC,70
Gianni Bruno,27,Belgium,SV Zulte-Waregem,70
Lasse Vibe,32,Denmark,IFK Göteborg,70
Kolbeinn Sigþórsson,29,Iceland,AIK,70
Kevin Wolze,29,Germany,VfL Osnabrück,70
Raffaele Bianco,31,Italy,Perugia,70
Mattia Mustacchio,30,Italy,Crotone,70
Jorge Antonio Flores Villafaña,29,United States,Portland Timbers,70
Ricardo Jorge Tavares Machado,30,Portugal,Al Taawoun,70
Wellington Luís de Sousa,31,Brazil,Vissel Kobe,70
Marcelo Alejandro Larrondo Páez,30,Chile,Unión La Calera,70
Massimo Volta,32,Italy,Benevento,70
Henri  Lansbury,28,England,Aston Villa,70
Matías Nicolás Rodríguez,33,Argentina,Universidad de Chile,70
Róger Espinoza Ramírez,32,Honduras,Sporting Kansas City,70
Kenneth Kronholm,33,United States,Chicago Fire,70
James Holland,30,Australia,LASK Linz,70
Pāvels Šteinbors,33,Latvia,Arka Gdynia,70
Anders Ågnes  Konradsen,28,Norway,Rosenborg BK,70
Sloan Privat,29,France,FC Sochaux-Montbéliard,70
Stephan Hain,30,Germany,SpVgg Unterhaching,70
신형민 辛炯珉,32,Korea Republic,Jeonbuk Hyundai Motors,70
Zaur Sadaev,29,Russia,MKE Ankaragücü,70
Frédéric Sammaritano,33,France,Dijon FCO,70
Tommy Oar,27,Australia,Central Coast Mariners,70
Mustapha Yatabaré,33,Mali,Sivasspor,70
Johannes Flum,31,Germany,FC St. Pauli,70
William Rémy,28,France,Legia Warszawa,70
Mustafa Pektemek,30,Turkey,Kasimpaşa SK,70
Driss Fettouhi,29,Morocco,Al Hazem,70
Mouhssine Iajour,34,Morocco,Damac FC,70
Fidel Chaves de la Torre,29,Spain,Elche CF,70
Alexander Esswein,29,Germany,Hertha BSC,70
Simone Colombi,28,Italy,Parma,70
Aridane Hernández Umpiérrez,30,Spain,CA Osasuna,70
Manuel Schäffler,30,Germany,SV Wehen Wiesbaden,70
Renato de Araújo Chaves Júnior,29,Brazil,Al Wehda,70
Moestafa El Kabir,30,Morocco,Çaykur Rizespor,70
Ramazan Köse,31,Turkey,Kasimpaşa SK,70
Robert Gucher,28,Austria,Pisa,70
Paul Coutts,30,Scotland,Fleetwood Town,70
Lyle Taylor,29,Montserrat,Charlton Athletic,70
Diego Eduardo De Buen Juárez,27,Mexico,Santos Laguna,70
Danny Hoesen,28,Netherlands,San Jose Earthquakes,70
Grégory Sertic,29,France,Olympique de Marseille,70
Yassine El Ghanassy,28,Belgium,FC Nantes,70
José María Angresola Jiménez,30,Spain,Real Oviedo,70
Graham Zusi,32,United States,Sporting Kansas City,70
Franco Zuculini,28,Argentina,Venezia FC,70
Gastón Sauro,29,Argentina,Deportivo Toluca,70
Guðlaugur Victor Pálsson,28,Iceland,SV Darmstadt 98,70
Marco Terrazzino,28,Germany,SC Freiburg,70
Marvin Pourié,28,Germany,Karlsruher SC,70
Rhayner Santos Nascimento,28,Brazil,Sanfrecce Hiroshima,70
Ahmed Eissa  El Mohamady Abdel Fattah,31,Egypt,Aston Villa,70
Jesús Antonio Isijara Rodríguez,29,Mexico,Club Atlas,70
Fabrice N'Sakala,28,DR Congo,Alanyaspor,70
内田 篤人,31,Japan,Kashima Antlers,70
권순형 权纯亨,33,Korea Republic,Jeju United FC,70
Rhyan Grant,28,Australia,Sydney FC,70
Magno Damasceno Santos da Cruz,31,Brazil,Jeju United FC,70
Gary Gardner,27,England,Birmingham City,70
Gary Kagelmacher,31,Uruguay,KV Kortrijk,70
Sebastian Jung,29,Germany,Hannover 96,70
Mario Rondón,33,Venezuela,CFR Cluj,70
Yeni Ngbakoto,27,DR Congo,En Avant de Guingamp,70
Astrit Ajdarević,29,Albania,Djurgårdens IF,70
Iván Pillud,33,Argentina,Racing Club,70
Ömer Bayram,27,Turkey,Galatasaray SK,70
Fabian Giefer,29,Germany,FC Augsburg,70
Philipp Klingmann,31,Germany,SV Sandhausen,70
Nicolás Colazo,28,Argentina,Rosario Central,70
Ivan Martić,28,Switzerland,Universitatea Craiova,70
Idrissa Sylla,28,Guinea,KV Oostende,70
Kelvin Leerdam,29,Netherlands,Seattle Sounders FC,70
Petar Škuletić,29,Serbia,Montpellier HSC,70
Marco Calderoni,30,Italy,Lecce,70
Pedro José  da Silva Trigueira,31,Portugal,Moreirense FC,70
Alberto Escassi Oliva,30,Spain,CD Numancia,70
Michael Jacobs,27,England,Wigan Athletic,70
Will Grigg,27,Northern Ireland,Sunderland,70
槙野 智章,32,Japan,Urawa Red Diamonds,70
Amara Baby,30,Senegal,Royal Antwerp FC,70
Diego Armando Valentin Contento,29,Germany,Fortuna Düsseldorf,70
Geoffry Hairemans,27,Belgium,Royal Antwerp FC,70
林 昭大,32,Japan,FC Tokyo,70
Ivan Paurević,28,Croatia,SV Sandhausen,70
Alen Stevanović,28,Switzerland,Wisła Płock,70
Pascal Testroet,28,Germany,FC Erzgebirge Aue,70
Juan Rodrigo Rojas Ovelar,31,Paraguay,Paraguay,70
Raffaele Maiello,27,Italy,Frosinone,70
Steve Clark,33,United States,Portland Timbers,70
Sebastián Dubarbier,33,Argentina,Club Atlético Banfield,70
Xavier Laglais Kouassi,29,Ivory Coast,FC Sion,70
Gregory Martin Garza Early,27,United States,FC Cincinnati,70
Luis Ángel Mendoza Escamilla,29,Mexico,Monarcas Morelia,70
Florentin Pogba,28,Guinea,Atlanta United,70
Joe Benny Corona Crespín,28,United States,LA Galaxy,70
José Antonio Madueña López,29,Mexico,Cruz Azul,70
Lacina Traoré,29,Ivory Coast,CFR Cluj,70
Alexander Domínguez Carabalí,32,Ecuador,Vélez Sarsfield,70
Antonio Aldo Caracciolo,29,Italy,US Cremonese,70
Ermir Lenjani,29,Albania,FC Sion,70
Brice Dja Djédjé,28,Ivory Coast,Kayserispor,70
Manuel Riemann,30,Germany,VfL Bochum 1848,70
Timo Beermann,28,Germany,1. FC Heidenheim 1846,70
Şamil Çinaz,33,Germany,Kayserispor,70
Tobias Kempe,30,Germany,SV Darmstadt 98,70
Claiton Machado dos Santos,34,Brazil,US Cremonese,70
Ángel Baltazar Sepúlveda Sánchez,28,Mexico,Club Tijuana,70
Aridai Cabrera Suárez,30,Spain,RCD Mallorca,70
Waldemar Sobota,32,Poland,FC St. Pauli,70
Roly Bonevacia,27,Curacao,Al Faisaly,70
Ricardo van Rhijn,28,Netherlands,SC Heerenveen,70
Florian Jozefzoon,28,Netherlands,Derby County,70
William Soares da Silva,30,Brazil,Gil Vicente FC,70
Ben Rienstra,29,Netherlands,Kayserispor,70
Luis Pedro Cavanda,28,Belgium,Standard de Liège,70
Kristof D'Haene,29,Belgium,KV Kortrijk,70
이용 李镕,32,Korea Republic,Jeonbuk Hyundai Motors,70
Mauro Quiroga,29,Argentina,Club Necaxa,70
Alessandro Salvi,31,Italy,Frosinone,70
Florent Ogier,30,France,Clermont Foot 63,70
Dominik Kaiser,30,Germany,Brøndby IF,70
Scott Allan,27,Scotland,Hibernian,70
Andrea La Mantia,28,Italy,Lecce,70
Álvaro Vázquez García,28,Spain,Real Sporting de Gijón,70
Elias Kachunga,27,DR Congo,Huddersfield Town,70
Mihály Korhut,30,Hungary,Hungary,70
Botond Baráth,27,Hungary,Sporting Kansas City,70
Michele Camporese,27,Italy,Pordenone,70
Zarek  Valentin,27,Puerto Rico,Portland Timbers,70
Matthías Vilhjálmsson,32,Iceland,Vålerenga Fotball,70
Akaki Gogia,27,Germany,1. FC Union Berlin,70
김은선 金殷善,31,Korea Republic,Central Coast Mariners,70
Ernest Kwabena Asante,30,Ghana,Al Hazem,70
Hatem Abd Elhamed,28,Israel,Celtic,70
Daryl Horgan,26,Republic of Ireland,Hibernian,70
Nahki Wells,29,Bermuda,Queens Park Rangers,70
Neeskens Kebano,27,DR Congo,Fulham,70
김기희 金基熙,29,Korea Republic,Seattle Sounders FC,70
Tim Kister,32,Germany,SV Sandhausen,70
Valentinos Sielis,29,Cyprus,Gangwon FC,70
Santiago Vergini,30,Argentina,San Lorenzo de Almagro,70
Marcello Falzerano,28,Italy,Perugia,70
Abdoulaye Sadio Diallo,28,Guinea,Gençlerbirliği SK,70
Florian Raspentino,30,France,Grenoble Foot 38,70
David Simón Rodríguez Santana,29,Spain,Deportivo de La Coruña,70
Craig Forsyth,30,Scotland,Derby County,70
Edwin Gyasi,28,Ghana,FC Dallas,70
Michael Smith,30,Northern Ireland,Heart of Midlothian,70
Tom Beugelsdijk,28,Netherlands,ADO Den Haag,70
Rhu-endly Martina,29,Curacao,Everton,70
Duvier Orlando Riascos Barahona,33,Colombia,Universidad Católica,70
Filip Kiss,28,Slovakia,Ettifaq FC,70
Igor Rossi Branco,30,Brazil,Al Faisaly,70
Luís Leal dos Anjos,32,São Tomé & Príncipe,Newell's Old Boys,70
Moritz Kuhn,27,Germany,SV Wehen Wiesbaden,70
Cristóbal Andrés Jorquera Torres,30,Chile,CD Palestino,70
Raffaele Pucino,28,Italy,Ascoli,70
Simon Lundevall,30,Sweden,IF Elfsborg,70
Miroslav Stevanović,28,Bosnia Herzegovina,Servette FC,70
Nir Bitton,27,Israel,Celtic,70
Alexis Henríquez,36,Colombia,Atlético Nacional,70
Rafael Robayo,35,Colombia,Atlético Bucaramanga,70
Felipe Martins,28,Brazil,DC United,70
심원운 沈东云,29,Korea Republic,Sangju Sangmu FC,70
Fabian Holland,28,Germany,SV Darmstadt 98,70
Taleb Tawatha,27,Israel,Eintracht Frankfurt,70
Martín Maximiliano Mantovani,34,Argentina,UD Las Palmas,70
Filip Starzyński,28,Poland,Zagłębie Lubin,70
Danny Blum,28,Germany,VfL Bochum 1848,70
Quentin Bernard,29,France,AJ Auxerre,70
Omar Ibrahim Omar Othman Hawsawi,33,Saudi Arabia,Al Nassr,70
Yahia Sulaiman Al Shehri,29,Saudi Arabia,Al Nassr,70
Hussain Al Moqahwi,31,Saudi Arabia,Al Ahli,70
Pietro Iemmello,27,Italy,Perugia,70
Andrés Cadavid,33,Colombia,Independiente Medellín,70
Leiton Jiménez,30,Colombia,Tiburones Rojos de Veracruz,70
Daniele Sciaudone,30,Italy,Cosenza,70
Salman Muwashar,30,Saudi Arabia,Al Ahli,70
Manuel Prietl,27,Austria,DSC Arminia Bielefeld,70
José María Martín Bejarano,31,Spain,Cádiz CF,70
장현수 张贤秀,27,Korea Republic,Al Hilal,70
Paulo Sérgio Mota,27,Portugal,AEK Athens,70
Rudy Alejandro Cardozo Fernández,29,Bolivia,Bolivia,70
Tom Schütz,31,Germany,DSC Arminia Bielefeld,70
Marco Hartmann,31,Germany,SG Dynamo Dresden,70
Ben Zolinski,27,Germany,SC Paderborn 07,70
Philip Heise,28,Germany,Norwich City,70
정석화 郑硕华,28,Korea Republic,Gangwon FC,70
Miguel Ángel Garrido Cifuentes,28,Spain,Málaga CF,70
정재용 郑在勇,28,Korea Republic,Pohang Steelers,70
Aderllan de Jesus Santos,30,Brazil,Rio Ave FC,70
Babacar Sarr,28,Senegal,Damac FC,70
Calmon Wergiton do Rosário,30,Brazil,Al Shabab,70
Diego Arturo Peralta González,34,Colombia,Once Caldas,70
Germán  Mera Cáceres,29,Colombia,Junior FC,70
José Fernando Cuadrado Romero,34,Colombia,Atlético Nacional,70
Rafael Antonio Caroca Cordero,29,Chile,Universidad de Chile,70
Christian Alberto Vilches González,35,Chile,Unión La Calera,70
Andrés Felipe Andrade Torres,30,Colombia,Club Atlas,70
Jean Carlos Blanco Becerra,27,Colombia,Unión Magdalena,70
Sebastián Andrés Ubilla Cambón,28,Chile,Universidad de Chile,70
Carlos Mario Arboleda Ampudia,33,Colombia,Independiente Santa Fe,70
Román Aureliano Torres Morcillo,33,Panama,Seattle Sounders FC,70
Elkin Blanco Rivas,29,Colombia,Atlético Bucaramanga,70
Juan Camilo Angulo Villegas,30,Colombia,Deportivo Cali,70
Maximiliano Iván Ceratto,31,Argentina,CD Everton de Viña del Mar,70
Ronnie Alan Fernández Sáez,28,Chile,Al Fayha,70
Ruben Ignacio Farfan Arancibia,27,Chile,Coquimbo Unido,70
Juan Caicedo,29,Colombia,New England Revolution,70
Matías Ibáñez,32,Argentina,Patronato,70
Fernando Meza,29,Argentina,Club Necaxa,70
Pablo Alvarado,33,Argentina,Unión La Calera,70
Mauro Bogado,34,Argentina,Club Atlético Huracán,70
Leandro Desábato,29,Argentina,Cerezo Osaka,70
Washington Camacho,33,Uruguay,Club Tijuana,70
Francisco Cerro,31,Argentina,Defensa y Justicia,70
Luciano Lollo,32,Argentina,Club Atlético Banfield,70
Martín Cauteruccio,32,Uruguay,Cruz Azul,70
Marc Dal Hende,28,Denmark,FC Midtjylland,70
Riccardo Gagliolo,29,Italy,Parma,70
Martín Barragán Negrete,27,Mexico,U.N.A.M.,70
Juan Guillermo Domínguez Cabezas,32,Colombia,Alianza Petrolera,70
Gabriel Rodrigues de Moura,31,Brazil,Dinamo Bucureşti,70
Fanendo Adi,28,Nigeria,FC Cincinnati,70
Yesus Segundo Cabrera Ramírez,28,Colombia,América de Cali,70
Eric de Oliveira Pereira,33,Brazil,FC Viitorul,70
Strahil Venkov Popov,28,Bulgaria,Kasimpaşa SK,70
Leandro Marcos Pereira,27,Brazil,Sanfrecce Hiroshima,70
山口 蛍,28,Japan,Vissel Kobe,70
齋藤 学,29,Japan,Kawasaki Frontale,70
柿谷 曜一朗,29,Japan,Cerezo Osaka,70
Cristian Penilla,28,Ecuador,New England Revolution,70
Hakan Arslan,30,Turkey,Sivasspor,70
José Manuel da Silva Oliveira,28,Portugal,Santa Clara,70
Emanuel Loeschbor,32,Argentina,Monarcas Morelia,70
João Ricardo da Silva Afonso,29,Portugal,Santa Clara,70
Yacine Bammou,27,Morocco,Alanyaspor,70
Marcos Daniel Riquelme,30,Argentina,Universidad de Chile,70
Mirko Gori,26,Italy,Frosinone,70
James Amilkar Sánchez Altamiranda,31,Colombia,Junior FC,70
蔡慧康,29,China PR,Shanghai SIPG FC,70
Rafael  Garcia Tonioli Defendi,35,Brazil,Famalicão,70
Guilherme Haubert Sityá,29,Brazil,Jagiellonia Białystok,70
Víctor Ignacio Malcorra,31,Argentina,U.N.A.M.,70
Ricardo Lopes Pereira,28,Brazil,Jeonbuk Hyundai Motors,70
Ayman Ashraf,28,Egypt,Egypt,70
Edder Farias,31,Venezuela,Junior FC,70
Jason Berthomier,29,France,Clermont Foot 63,70
Mehdi Jean Tahrat,29,Algeria,Abha Club,70
Paolo Bartolomei,29,Italy,Spezia,70
Aleksandr Zhirov,28,Russia,SV Sandhausen,70
Pablo José Rojas Cardales,27,Colombia,Jaguares de Córdoba,70
Marco João Costa Baixinho,29,Portugal,FC Paços de Ferreira,70
Ali Al Bulayhi,29,Saudi Arabia,Al Hilal,70
Martin Victor Álvares Fachini,35,Brazil,Ceará Sporting Club,70
Breno Evandro Bemposta Dimas,35,Brazil,Ceará Sporting Club,70
Marlon Rômulo Dias Cavalcanti,35,Brazil,Cruzeiro,70
Edson Gérson Torres Guerra,35,Brazil,Avaí FC,70
Flávio Raphael Rebeilo Mestres,27,Brazil,Santos,70
Dagoberto Josué Pinho Parrela,35,Brazil,Internacional,70
Bernardo Joshua Mota Damasco,27,Brazil,Cruzeiro,70
Milton Boas Menceiros Cunha,27,Brazil,Ceará Sporting Club,70
Elton Matheus Marques Paiva,27,Brazil,Internacional,70
Luciano Renato Barbosa Baumer,31,Brazil,Chapecoense,70
Lourival Adnan Diniz Prazeres,31,Brazil,Fortaleza,70
Anselmo Túlio Marques Barni,31,Brazil,Fortaleza,70
Marcos Alam Bastos Domingues,27,Brazil,Santos,70
Renaldo Lorenzo Justinho Neves,35,Brazil,Botafogo,70
Macario André Louro Padilha,31,Brazil,Bahia,70
Raphael William Paneira Rochedo,31,Brazil,Grêmio,70
Diogo Nathan Peixe Barreto,31,Brazil,Avaí FC,70
Severino Pedro Santos Hermes,31,Brazil,Cruzeiro,70
Leonardo Fabio Castro Loaiza,27,Colombia,Independiente Medellín,70
Nicolás Romat,31,Argentina,Club Atlético Huracán,70
柴崎 晃誠,34,Japan,Sanfrecce Hiroshima,70
永木 亮太,31,Japan,Kashima Antlers,70
Jony Allison Reitosa Ribeiro,27,Brazil,Ceará Sporting Club,70
Jairo Ralph Farnias Almeida,31,Brazil,Internacional,70
Allan Norberto Ardaújo Alves,31,Brazil,CSA - AL,70
Rafael Henrique Assis Cardoso,28,Brazil,Al Fayha,70
Amedeo Benedetti,27,Italy,Cittadella,70
Jérémy Grimm,32,France,RC Strasbourg Alsace,70
Michele Castagnetti,29,Italy,US Cremonese,70
Ernest Seka,32,Guinea,AS Nancy Lorraine,70
Vinicius Lúcio Trieiro Lobato,27,Brazil,Botafogo,70
Jailson Pietro Oliva Chiamulera,27,Brazil,Atlético Mineiro,70
Luan Vágner Sendeiro Zanon,27,Brazil,Internacional,70
Nilson Leôncio Padilho Borges,31,Brazil,Chapecoense,70
Christian Ramirez,28,United States,Houston Dynamo,70
Dever Orgill,29,Jamaica,MKE Ankaragücü,70
Daniel Keita-Ruel,29,France,SpVgg Greuther Fürth,70
Eduardo Tercero,23,Mexico,Tigres U.A.N.L.,70
Vassilios Lampropoulos,29,Greece,Deportivo de La Coruña,70
Mohamed Fouzair,27,Morocco,Al Raed,70
Filip Bradarić,27,Croatia,Cagliari,70
Diego Valdes Giraldo,28,Colombia,Deportes Tolima,70
Igor Plastun,28,Ukraine,KAA Gent,70
Giovanni Zarfino,27,Uruguay,Extremadura UD,70
Malik Asselah,32,Algeria,Al Hazem,70
José Corpas Serna,27,Spain,UD Almería,70
Cătălin Golofca,29,Romania,FC Botoşani,70
Jesús Soraire,30,Argentina,Arsenal de Sarandí,70
Enrique Sancero,33,Ecuador,Ecuador,70
Agustín Urzi,19,Argentina,Club Atlético Banfield,69
Paxton Pomykal,19,United States,FC Dallas,69
Nicolas Cozza,20,France,Montpellier HSC,69
Agustín Almendra,19,Argentina,Boca Juniors,69
Musa Barrow,20,Gambia,Atalanta,69
Maxence Caqueret,19,France,Olympique Lyonnais,69
Kamil Jóźwiak,21,Poland,Lech Poznań,69
David Turnbull,19,Scotland,Motherwell,69
Domingos Quina,19,Portugal,Watford,69
Timothy Weah,19,United States,LOSC Lille,69
Lewis Ferguson,19,Scotland,Aberdeen,69
Jayden Bogle,18,England,Derby County,69
Oihan Sancet Tirapu,19,Spain,Athletic Club de Bilbao,69
Maximiliano Romero,20,Argentina,Vélez Sarsfield,69
James Justin,21,England,Leicester City,69
Daniel Arzani,20,Australia,Celtic,69
Bastien Toma,20,Switzerland,FC Sion,69
Luca Pellegrini,20,Italy,Juventus,69
Javier Hernández Carrera,21,Spain,Real Madrid,69
Ignacio Aliseda,19,Argentina,Defensa y Justicia,69
Stiven Plaza,20,Ecuador,Real Valladolid CF,69
Ricardo Márquez,21,Colombia,Unión Magdalena,69
Jorge Carrascal,21,Colombia,River Plate,69
Jay Dasilva,21,England,Bristol City,69
Yan Valery,20,France,Southampton,69
Ibrahima Niane,20,Senegal,FC Metz,69
José Juan Macías,19,Mexico,Club León,69
Sofian Kiyine,21,Morocco,US Salernitana 1919,69
Ridle Bote Baku,21,Germany,1. FSV Mainz 05,69
Daniel Gómez Alcón,20,Spain,CD Tenerife,69
Dejan Joveljić,19,Serbia,Eintracht Frankfurt,69
Domagoj Bradarić,19,Croatia,LOSC Lille,69
Nils Körber,22,Germany,VfL Osnabrück,69
Cameron Carter-Vickers,21,United States,Stoke City,69
Andy Rinomhota,22,England,Reading,69
Callum Connolly,21,England,Everton,69
Silvan Hefti,21,Switzerland,FC St. Gallen,69
Christopher Martins Pereira,22,Luxembourg,BSC Young Boys,69
Sarpreet Singh,20,New Zealand,Bayern München II,69
Matthew Smith,19,Wales,Queens Park Rangers,69
Kik Pierie,18,Netherlands,Ajax,69
Zaydou Youssouf,19,France,AS Saint-Étienne,69
Vlad Mihai Dragomir,20,Romania,Perugia,69
Ignacio Méndez Navia Fernández,21,Spain,Real Sporting de Gijón,69
Matías Germán Melluso,21,Argentina,Gimnasia y Esgrima La Plata,69
Gastón Lódico,21,Argentina,Club Atlético Lanús,69
Iñigo Vicente Elorduy,21,Spain,CD Mirandés,69
Javier Sánchez de Felipe,22,Spain,Real Valladolid CF,69
Josh Onomah,22,England,Fulham,69
Harold Moukoudi,21,France,AS Saint-Étienne,69
Jeando Fuchs,21,Cameroon,Deportivo Alavés,69
Pedro Miguel Lopes Pereira,21,Portugal,Bristol City,69
Justin Hoogma,21,Netherlands,FC Utrecht,69
Robin Le Normand,22,France,Real Sociedad,69
Luis Sinisterra,20,Colombia,Feyenoord,69
Francesco Cassata,21,Italy,Genoa,69
Michel Aebischer,22,Switzerland,BSC Young Boys,69
Silas Gnaka,20,Ivory Coast,KAS Eupen,69
Florinel Coman,21,Romania,FCSB (Steaua),69
Hervé Koffi,22,Burkina Faso,Os Belenenses,69
Ibrahima Diallo,20,France,Stade Brestois 29,69
